,STATE_NAME,STUSAB,BG_Check_or_Permit,Extreme_Risk_law,No_ShootFirst,CC_Permit_Req,Charleston_Loophole_Closed,Secure_Storage,HighCap_Mags_Prohibited,MinAge_Purch,NoPurch_Violent_Offense,Auth_Deny_Purch,HG_Sales_Sent_To_Law,Open_Carry_Reg,AsWeap_Prohibit,Gun_Rem_Prog,Vio_Inter_Prog_Fund,Prohib_Convict_Dom_Abuse,Prohib_Dom_Abuser_Restrain_Order,Relinq_Convict_Dom_Abuse,Relinq_Restrain_Dom_Abuse,Ghost_Gun_Reg,No_Guns_K12,No_Guns_College,Local_Gun_Laws_Allow,School_Threat_Assess,Fug_Justice_Prohibit,Emer_Restrain_Order_Prohibit,Dealer_Lic_Req,Mental_Report,Consume_Safety,Train_to_Purch,Strong_CC_Auth,Office_Vio,Fel_Prohib,Mental_Prohib,Stalker_Prohib,Wait_Period,Lost_Stolen_Report,No_Carry_Vio_Offense,Notif_Fail_BG,Crime_Gun_Trace,No_Immune_Gun_Industry,Guns_Prohib_State_Cap,Hate_Crime_Prohib,No_Guns_Bars,Microstamp_Handguns,Fund_Victim_Gun_Vio,Pol_Use_Deadly_Force_Std,No_Law_Enforce_Officers_BoR,Qual_Immune_Lmtd,Pol_Use_Force_Collect,Control_Score,Likert_Scale
10,Hawaii,HI,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.0,1.5,1.0,1,1,1,1,0,1.0,1,1,1,0,0,0,1,0,0,89.0,VS
12,Illinois,IL,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1.0,1.5,1.0,1,1,1,1,1,1.0,1,1,1,0,1,1,0,0,0,87.5,VS
4,California,CA,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1,0,0,1,86.5,VS
20,Massachusetts,MA,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.0,0,1,1,0,1,1.0,0,1,0,0,0,0,1,0,0,86.0,VS
31,New York,NY,6.0,6.0,6.0,6.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1.0,1.5,1.0,0,1,1,0,0,1.0,1,1,1,1,0,0,1,0,1,85.5,VS
19,Maryland,MD,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,1.5,1.0,1,1,1,0,1,1.0,1,1,1,0,0,0,1,0,0,84.5,VS
29,New Jersey,NJ,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1,1,1,0,0,1.0,1,1,1,0,1,1,1,0,0,83.0,VS
6,Connecticut,CT,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.0,1.5,0.0,0,1,1,1,1,1.0,0,1,0,0,1,1,1,1,1,81.0,VS
36,Oregon,OR,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,1.0,1.5,1.0,0,1,1,1,1,1.0,1,0,0,0,0,0,0,0,1,72.0,Str
46,Washington,WA,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,1.5,1.5,0.0,1.5,0.0,1.0,1.0,1.5,0.0,1,0,0,1,0,1.0,1,1,1,0,0,0,1,0,0,67.5,Str
38,Rhode Island,RI,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,67.0,Str
5,Colorado,CO,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.0,1.0,0.0,1.0,1,1,0,1,0,1.0,1,1,0,0,0,0,1,1,1,63.0,Str
22,Minnesota,MN,6.0,6.0,6.0,6.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,1.0,1.5,1.0,1,0,1,0,0,1.0,0,1,0,0,0,0,0,0,0,61.5,Str
7,Delaware,DE,0.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,1.5,0.0,1.0,1.5,1.0,0,1,1,0,1,1.0,0,1,0,0,0,0,0,0,0,61.0,Str
45,Virginia,VA,0.0,6.0,6.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,1.0,1.5,0.0,0,1,1,1,1,1.0,1,1,0,0,1,1,0,0,0,53.5,Mod
37,Pennsylvania,PA,6.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.5,0.0,0.0,1.5,1.0,0.0,1.5,1.0,0,0,0,1,1,0.0,1,1,0,0,0,0,1,0,0,52.0,Mod
30,New Mexico,NM,6.0,6.0,6.0,6.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0,0,1.0,0,0,1,0,0,0,0,1,0,51.0,Mod
27,Nevada,NV,6.0,6.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,42.5,Mod
44,Vermont,VT,0.0,6.0,6.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1.0,0,0,0,0,0,0,1,0,0,40.0,Weak
21,Michigan,MI,6.0,6.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0,0,0.0,0,1,0,0,0,0,1,0,0,38.0,Weak
8,Florida,FL,0.0,6.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1,0,1,0,0,0.0,1,1,1,0,0,0,0,0,0,34.5,Weak
48,Wisconsin,WI,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,1,33.5,Weak
32,North Carolina,NC,6.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.0,1,0,0,0,0,0,1,0,0,33.5,Weak
26,Nebraska,NE,6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0.0,0,1,0,0,0,0,1,0,0,31.0,Weak
18,Maine,ME,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,25.5,Weak
41,Tennessee,TN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,1,0,0.0,1,1,0,0,0,0,0,0,1,24.5,Weak
17,Louisiana,LA,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,0,0,1,0,0,0,0,0,0,24.0,Weak
39,South Carolina,SC,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,22.5,Weak
14,Iowa,IA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,21.5,Weak
13,Indiana,IN,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,19.5,VW
47,West Virginia,WV,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,19.5,VW
42,Texas,TX,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,0,17.0,VW
0,Alabama,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,1,16.5,VW
34,Ohio,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0,1,0,0,0.0,0,0,0,0,1,1,1,0,0,16.0,VW
33,North Dakota,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,0,15.5,VW
43,Utah,UT,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,15.0,VW
15,Kansas,KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,12.5,VW
24,Missouri,MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,11.5,VW
28,New Hampshire,NH,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,11.0,VW
16,Kentucky,KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,11.0,VW
1,Alaska,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,10.5,VW
2,Arizona,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,9.0,VW
35,Oklahoma,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,0,8.0,VW
25,Montana,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,6.5,VW
40,South Dakota,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,6.5,VW
9,Georgia,GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,6.5,VW
49,Wyoming,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,5.5,VW
11,Idaho,ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,5.0,VW
3,Arkansas,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,5.0,VW
23,Mississippi,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,3.5,VW
